Property Address,Property Name,Number Of Units,Star Rating,Building Class,PropertyType,Secondary Type,Affordable Type,Building Status,Market Name,Submarket Name,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Address,Sale Company City State Zip,Sale Company Phone,Sale Company Fax,Sale Company Contact,Vacancy %,Month Built,Year Built,Year Renovated,Number Of Stories,Total Buildings,Rent Type,Property Manager Name,Property Manager Contact,Property Manager Phone,PropertyID,Owner Contact,Owner Name,Number Of Parking Spaces,County Name,Amenities,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Number Of Elevators,Operational Status,Latitude,Longitude,Four Bedroom Vacancy %,One Bedroom Vacancy %,Studio Vacancy %,Three Bedroom Vacancy %,Two Bedroom Vacancy %
1511 Felspar St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5805637,,Wolfe Floyd & Alice E,4,San Diego,,,,,,,0,,32.8001613,-117.2425351,,,,,
861-865 Grand Ave,,15,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-3907,370,,,,,,,,,,,,5.20,,1933,,1,2,Market,K and R Properties,,8584901600,5488844,,K and R Properties,16,San Diego,,1,,,,14,0,,32.7946373,-117.2534176,,0.0,7.1,,
931 Grand Ave,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4043,688,2.05,1407,,,,,,,,,,0.44,,,,1,2,Market,Steve Richards Realty,,8584832844,5490134,,G&p San Diego Holdings Lp,2,San Diego,,7,,,,5,0,,32.7949554,-117.2521963,,0.0,0.0,,
1049-1055 Grand Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4118,487,2.68,1304,,,,,,,,,,3.47,,1952,,2,2,Market,Pure - 1049-1055 Grand,,,9290350,Philip Buckley,Philip Buckley,4,San Diego,,4,,,,2,0,,32.7952811,-117.2499630,,0.0,0.0,,
1057-1065 Grand Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,2,Market,,,,9996297,,,8,San Diego,,,,,,,0,,32.7954610,-117.2496760,,,,,
1062-1064 Grand Ave,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4117,,,,,,,,,,,,,5.20,,,,1,2,Market,,,,10376445,,Sanchez Victor & Claudia Trust,,San Diego,,2,,,,,0,,32.7960617,-117.2499859,,0.0,,,
1126 Grand Ave,Yorkshire Apartments,11,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5838010,Roberto Walz,Walz Properties,8,San Diego,,4,7,,,,0,,32.7963174,-117.2490408,,0.0,,,0.0
1133-1139 Grand Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4124,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5829554,,Stephanie Paula Rossis,5,San Diego,,,,,,,0,,32.7957243,-117.2485143,,,,,
1140 Grand Ave,,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5829467,,Grand Diamond Properties Llc,5,San Diego,,,,,,,0,,32.7964009,-117.2485291,,,,,
1141-1143 Grand Ave,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,1,,Market,,,,5829469,,Brian Revelli,4,San Diego,,,,,,,0,,32.7957840,-117.2483930,,,,,
1150 GRAND Ave,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,SAN DIEGO,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5829503,,Cheng Chu,5,San Diego,,,,,,,0,,32.7964398,-117.2483994,,,,,
1157-1163 Grand Ave,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4162,,,,,,,,,,,,,5.20,,1951,,1,4,Market,,,,5829514,,Inman Malcolm E,5,San Diego,,4,,,,,0,,32.7958800,-117.2480820,,0.0,,,
1169-1171 Grand Ave,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,1,,Market,,,,5829564,,Goerss Harold F & Emily J,3,San Diego,,,,,,,0,,32.7959280,-117.2478490,,,,,
1180-1190 Grand Ave,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4126,,,,,,,,,,,,,5.20,,1974,,2,2,Market,,,,4055094,Thomas Geantil,Geantil Thomas,12,San Diego,Laundry Facilities,8,4,,,,0,,32.7965330,-117.2480810,,0.0,,,0.0
1225-1233 Grand Ave,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4260,741,2.02,1498,,,,,,,,,,5.20,,,,2,1,Market,,,,4378844,,M S P Investments L L C,5,San Diego,,3,1,1,,,0,,32.7960850,-117.2468120,,0.0,,0.0,0.0
1235 Grand Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,875,1.83,1606,,,,,,,,,,4.07,,,,2,1,Market,France & Simone Carpentier,,8582734559,5829565,,F & S Property Investments LLC,5,San Diego,,1,1,,,6,0,,32.7960985,-117.2466520,,0.0,0.0,,0.0
1241-1247 Grand Ave,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,1,,Market,,,,5829527,,Moffat William & Barbara Trust,4,San Diego,,,,,,,0,,32.7961404,-117.2464804,,,,,
1251 Grand Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,2,Market,,,,5829545,,Willis H Thompson Trust,5,San Diego,,,,,,,0,,32.7961637,-117.2463423,,,,,
1261 Grand Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,2,Market,,,,5838015,Lianne Thompson,Willis H Thompson Trust,3,San Diego,,,,,,,0,,32.7962027,-117.2461762,,,,,
1327 Grand Ave,,15,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,643,4.41,2802,,,,,,,,,,2.26,,,,2,1,Market,David Handler,David Handler,6195838730,5677532,David Handler,David Handler,,San Diego,,15,,,,,0,,32.7964600,-117.2450600,,0.0,,,
1346-1374 Grand Ave,,26,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,747,2.95,2204,,,,,,,,,,5.20,,1957,,2,4,Market,1346 -1374 Grand Ave,,6192321043,8029123,John Jaffe,"John Jaffe Company, LP",26,San Diego,Laundry Facilities,1,25,,,,0,,32.7972620,-117.2446380,,0.0,,,4.0
1402 Grand Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4327,330,,,,,,,,,,,,5.20,,1949,,1,2,Market,,,,4250865,,Phoenix Reid,9,San Diego,Laundry Facilities,,,,,8,0,,32.7974443,-117.2438096,,,0.0,,
1403-1405 Grand Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4328,,,1114,,,,,,,,,,5.20,,1951,,1,4,Market,Sunrise Management -  1403-1405 Grand Ave,,8587516332,4742297,T. Scott Russell,Hale Real Estate Partners LLC,,San Diego,,8,,,,,0,,32.7968200,-117.2436196,,0.0,,,
1415 Grand Ave,,12,3,B,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4377,310,3.80,1180,,,,,,,,,,5.20,,1959,2017,2,1,Market,Capital Growth Properties,,8587299300,4569061,David Zettel,David Zettel,12,San Diego,"Air Conditioning, Controlled Access, Courtyard, Fenced Lot, Laundry Facilities, Gated, Pet Play Area, Garden, Lawn",,,,,12,0,,32.7968360,-117.2433790,,,8.3,,
1425 Grand Ave,,4,1,,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4328,800,,,,,,,,,,,,5.20,,1970,,2,3,,,,,12612987,,Tgp Ventures Llc,,San Diego,,,4,,,,0,,32.7968819,-117.2431560,,,,,0.0
1428 Grand Ave,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4350,1128,,,,,,,,,,,,5.20,,1988,2010,2,1,Market,,,,12222368,David Chin,The Chin Family Trust,5,San Diego,,,,4,,,0,,32.7975751,-117.2433733,,,,0.0,
1433 Grand Ave,Grand Avenue Eight,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,710,,,,,,,,,,,,5.20,,1958,,2,1,Market,,,,666228,,Alfred T & Elaine June Barrack,7,San Diego,,2,6,,,,0,,32.7969394,-117.2430067,,0.0,,,0.0
4274-4276 Gresham St,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-5367,460,3.81,1752,,,,,,,,,,2.59,,1952,,1,1,,,,,12213864,Theron Royer,Theron James Royer Jr,1,San Diego,,2,,,,,0,,32.7956680,-117.2437257,,0.0,,,
4303 Gresham St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,475,2.48,1177,,,,,,,,,,5.20,,1973,,2,1,Market,,,,4032941,Bryan Miller,"Stelco Investments, Inc.",10,San Diego,Laundry Facilities,10,,,,,0,,32.7964525,-117.2435283,,10.0,,,
4428-4444 Gresham St,,5,2,C,Multi-Family,Apartments,Affordable Units,Existing,San Diego,Pacific Beach,San Diego,CA,92109-9202,752,,,,,,,,,,,,4.20,,1955,,2,2,Market,,,,9469166,Patric Trinh,Patric Trinh,6,San Diego,,,4,,,1,0,,32.7977872,-117.2444062,,,0.0,,0.0
4410-4414 Haines St,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,1,,Market,,,,5802974,,Warner Ranoa Haines Street Tru,6,San Diego,,,,,,,0,,32.7977719,-117.2424411,,,,,
4451 Haines St,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4313,,,,,,,,,,,,,5.20,,1965,,2,1,Market,,,,4251968,,James and Pamela Lester,11,San Diego,Laundry Facilities,4,4,4,,,0,,32.7987898,-117.2423135,,0.0,,0.0,0.0
4526 Haines St,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5805656,,Chassang Roland A 12-02-03,2,San Diego,,,,,,,0,,32.7998593,-117.2431308,,,,,
4530-4544 Haines St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-3020,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,9468986,,Mirandon Trust,6,San Diego,,,,,,,0,,32.8000260,-117.2431260,,,,,
4577 Haines St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5805635,Justin Higman,Justin Higman,12,San Diego,,,,,,,0,,32.8000270,-117.2426700,,,,,
1009-1017 Hornblend St,,5,3,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,660,,,,,,,,,,,,5.20,,2000,,2,2,Market,,,,5808494,Christopher Luna,Christopher Luna,,San Diego,"Air Conditioning, Wheelchair Accessible (Rooms)",4,1,,,,0,,32.7962592,-117.2511085,,0.0,,,0.0
1016-1024 Hornblend St,,8,3,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,1000,3.20,3204,,,,,,,,,,13.09,,1989,,2,1,Market,Sunrise Management - 1016-1024 Hornblend St,,8586993851,4034369,,Bluestar Management,8,San Diego,,,,8,,,0,,32.7968030,-117.2511560,,,,12.5,
1019-1025 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,6745677,,Rask Helen R Trust,,San Diego,,,,,,,0,,32.7962927,-117.2509182,,,,,
1026 Hornblend St,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,1950,,2,1,Market,,,,1224356,,Luke Christopher Blake Derry Trust,,San Diego,,5,2,,,,0,,32.7969639,-117.2510268,,0.0,,,0.0
1030-1032 Hornblend St,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5808508,,Derry Blake 12-27-01,5,San Diego,,,,,,,0,,32.7968803,-117.2509422,,,,,
1049-1053 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,1,,Market,,,,5808504,,Loretta M Shumway,,San Diego,,,,,,,0,,32.7964880,-117.2503890,,,,,
1050 Hornblend St,,14,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4130,,,,,,,,,,,,,5.20,,1958,,2,1,Market,,,,4251969,,Kathleen Evans,26,San Diego,"24 Hour Access, Laundry Facilities, Wi-Fi",5,4,,,5,0,,32.7969750,-117.2504730,,0.0,0.0,,0.0
1056-1066 Hornblend St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,1927,,1,,Market,,,,5808511,,Lepiere Lawrence R,4,San Diego,,,,,,,0,,32.7969750,-117.2503630,,,,,
1061 Hornblend St,Hornblend Twelve,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4133,862,2.10,1810,,,,,,,,,,5.20,,1956,,2,2,Market,,,,91187,Bret Smith,"JIT Manufacturing, Inc.",,San Diego,Laundry Facilities,,12,,,,0,,32.7964440,-117.2501900,,,,,8.3
1068 Hornblend St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,1075,1.76,1888,,,,,,,,,,0.59,,,,2,1,Market,France & Simone Carpentier,,8582734559,5808515,,F & S Property Investments Llc,6,San Diego,,,6,,,,0,,32.7970338,-117.2501739,,,,,0.0
1111 Hornblend St,Royal Pacific Apartments,25,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,820,2.36,1934,,,,,,,,,,3.81,,1971,,3,1,Market,Diamond- Royal Pacific Apartments,Matt Boudway,6198675272,5808500,George Lattimer,George W & Carol A Lattimer,12,San Diego,"Controlled Access, Laundry Facilities, Playground, Bicycle Storage, Elevator, Sundeck, Intercom",18,7,,,,0,,32.7965667,-117.2493609,,5.6,,,0.0
1125 Hornblend St,,11,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5808517,,Terrace Ouest,7,San Diego,,,,,,,0,,32.7966380,-117.2490206,,,,,
1156 Hornblend St,,16,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,750,1.33,997,,,,,,,,,,0.75,,1963,,2,1,Market,Fairgrove - 1156 Hornblend St,,8584835111,5498427,,Sean Levi,16,San Diego,,16,,,,,0,,32.7974294,-117.2485838,,0.0,,,
1157-1163 Hornblend St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5808496,,Cerda M J & Eng Cynthia M,,San Diego,,,,,,,0,,32.7968621,-117.2483199,,,,,
1234-1240 Hornblend St,Amphibolite Apartments,11,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,977,1.86,1820,,,,,,,,,,0.64,,,,2,3,Market,Diamond - Amphibolite Apartments,,8584833796,5808519,George Lattimer,George W & Carol A Lattimer,,San Diego,,1,10,,,,0,,32.7977388,-117.2471650,,0.0,,,0.0
1237-1239 Hornblend St,,11,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-2947,350,1.84,645,,,,,,,,,,0.05,,,,2,1,Market,"Income Property Advisors, Inc.",Bob Macguire,8582791500,4391383,,Browar M S Family Trust 02-09-,5,San Diego,,1,,,,10,0,,32.7971780,-117.2470070,,0.0,0.0,,
1241-1243 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,437,2.26,988,,,,,,,,,,5.20,,1951,,1,,Market,,,,5808502,,Micaela Amayo,,San Diego,,4,,,,,0,,32.7972170,-117.2468780,,0.0,,,
1242 Hornblend St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5808518,,Vanstelle Jerry L,8,San Diego,,,,,,,0,,32.7977674,-117.2470093,,,,,
1259 Hornblend St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,600,,,,,,,,,,,,,,,,2,2,Market,Paul B & Jennifer M Mccoy,Mccoy Trust,8584596620,5808509,Mccoy Trust,Paul B & Jennifer M Mccoy,18,San Diego,,,,,,10,0,,32.7971699,-117.2466336,,,0.0,,
1260 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5808506,,Pernicano John E & Lena C,5,San Diego,,,,,,,0,,32.7977762,-117.2466565,,,,,
1319 Hornblend St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,722,2.85,2057,,,,,,,,,,,,1969,,2,1,Market,,,,5808501,Alex Joehnk,Karsten & Joehnk,8,San Diego,,4,3,1,,,0,,32.7974894,-117.2454930,,0.0,,0.0,0.0
1320 Hornblend St,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5808516,,Hildebrand Family Trust 3 11-2,3,San Diego,,,,,,,0,,32.7980194,-117.2455959,,,,,
1326 Hornblend St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,1,,Market,,,,5808499,,Granquist Bruce K & Barbara J,4,San Diego,,,,,,,0,,32.7980410,-117.2454450,,,,,
1327-1329 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,1723,,,,,,,,,,5.20,,1949,,1,,Market,Tim Berghoff,Tim Berghoff,8584835337,8192257,Tim Berghoff,Tim Berghoff,7,San Diego,,1,,1,,1,0,,32.7975782,-117.2453679,,0.0,0.0,0.0,
1349-1351 Hornblend St,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,1,,Market,,,,5808488,,Wood Brian & Terrise 2004 Trus,6,San Diego,,,,,,,0,,32.7976910,-117.2448690,,,,,
1352-1354 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4227,968,3.20,3102,,,,,,,,,,5.20,,1984,,2,2,Market,,,,5808503,Carl Anderson,Carl E & Marjorie E Anderson Jr,8,San Diego,"Laundry Facilities, Patio",,4,,,,0,,32.7981700,-117.2451878,,,,,0.0
1360 Hornblend St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5808514,Matthew Philbin,"Anthem Real Estate Ventures, Inc.",4,San Diego,,,,,,,0,,32.7982530,-117.2448612,,,,,
1435 Hornblend St,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,1,Market,,,,5808495,,1435 Hornblend L L C,4,San Diego,,,,,,,0,,32.7979520,-117.2433425,,,,,
1443 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4315,,,,,,,,,,,,,5.20,,1979,,2,2,Market,,,,10626942,,,9,San Diego,"Courtyard, Laundry Facilities, Trash Pickup - Curbside, Yard",,,,,4,0,,32.7981013,-117.2431930,,,0.0,,
1444-1446 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,,,,,,,,,,,,,5.20,,,,2,,Market,,,,5808497,,Stephan Family Trust 02-09-96,3,San Diego,,,,,,4,0,,32.7985405,-117.2433203,,,0.0,,
1459 Hornblend St,Hornblend Apartments,11,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,713,2.36,1684,,,,,,,,,,0.18,,1972,,2,1,Market,Hornblend Apartments,,8584446066,5341311,,Carol Brand,12,San Diego,,5,6,,,,0,,32.7980430,-117.2428310,,0.0,,,0.0
1469 Hornblend St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109-4353,1160,2.72,3156,,,,,,,,,,5.20,,1988,,2,1,Market,,,,4249595,,Smith Family Trust 11-14-80,8,San Diego,,,,4,,,0,,32.7981177,-117.2427026,,,,0.0,
324 Kolmar St,Kolmar Street Condominiums,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037,,,,,,,,,,,,,4.96,,1966,2006,2,2,Market,,,,1081258,,Adnan M. Khatib,,San Diego,Wheelchair Accessible (Rooms),,4,,,,0,,32.8282263,-117.2782645,,,,,0.0
396 Kolmar St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037,,,,,,,,,,,,,4.96,,,,2,1,Market,,,,5840259,,Dingwall Ruth P Power Of Appoi,10,San Diego,,,,,,,0,,32.8284084,-117.2773533,,,,,
5060 La Jolla Blvd,Casas By The Sea,144,3,C,Multi-Family,Apartments,,Existing,San Diego,Pacific Beach,San Diego,CA,92109,1032,4.20,4330,,,,,,,,,,3.27,,1971,,3,9,Market,Sunrise Management - Casas By The Sea,Jeff Ganby,8584837412,5840279,Mark Reoch,Apartment Investment and Management Company,55,San Diego,"Clubhouse, Pool, Spa, Grill, Elevator, Maintenance on site, Deck, Patio, Wheelchair Accessible (Rooms)",50,46,42,,6,1,,32.8061429,-117.2599674,,4.0,0.0,2.4,4.4
5431 La Jolla Blvd,,3,3,C,Multi-Family,Apartments,,Existing,San Diego,Bird Rock,La Jolla,CA,92037,3350,,,,,,,,,,,,4.96,,2008,,3,1,Market,,,,5503387,,Elizabeth T A & Tru Vu Family,6,San Diego,"Air Conditioning, Bicycle Storage, Elevator, Breakfast Nook, Dining Room, Family Room, Instant Hot Water",,3,,,,0,,32.8117623,-117.2667880,,,,,0.0
5656 La Jolla Blvd,,6,3,B,Multi-Family,Apartments,,Existing,San Diego,Bird Rock,La Jolla,CA,92037-7523,1500,,,,,,,,,,,,4.96,8,2020,,2,1,Market,,,,10825335,,Security Eat 586 Inc,,San Diego,,,6,,,,0,,32.8149049,-117.2705565,,,,,0.0
5685-5693 La Jolla Blvd,La Jolla Seaview,12,3,B,Multi-Family,Apartments,,Existing,San Diego,Bird Rock,La Jolla,CA,92037-7524,796,4.15,3306,,,,,,,,,,4.96,,1986,2019,3,1,Market,HeetWave Properties,Cindy Heeter,8885574338,674428,Robert Smith,Robert R Smith,35,San Diego,Air Conditioning,4,8,,,,1,,32.8152910,-117.2702140,,0.0,,,0.0
6229-6237 La Jolla Blvd,Hermosa Terrace,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Upper Hermosa,La Jolla,CA,92037-6734,760,2.33,1769,,,,,,,,,,0.71,,1952,,2,1,Market,Del Sol Property Management," Del Sol Property Manageme",8582702071,4252401,Dan Feder,F&F Income Properties,,San Diego,,2,3,,,,0,,32.8238616,-117.2753663,,0.0,,,0.0
6241-6253 La Jolla Blvd,,7,3,B,Multi-Family,Apartments,,Existing,San Diego,Upper Hermosa,La Jolla,CA,92037-6735,,,1387,,,,,,,,,,4.96,,1952,,1,1,Market,,,,9306105,,Blumenthal & Markham,6,San Diego,Courtyard,3,4,,,,0,,32.8239092,-117.2754863,,0.0,,,0.0
6504-6512 La Jolla Blvd,,11,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037,721,1.71,1235,,,,,,,,,,0.51,,1953,,2,,Market,La Jolla Boulevard/Palomar Street Apartments,,8584446066,5840275,,Carlos & Victoria Hsieh,4,San Diego,,11,,,,,0,,32.8269562,-117.2772687,,0.0,,,
6520-6526 La Jolla Blvd,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037-6015,,,2327,,,,,,,,,,4.96,,1948,,2,3,Market,,,,861200,,La Jolla Trust,3,San Diego,,3,2,1,,1,0,,32.8271767,-117.2772990,,0.0,0.0,0.0,0.0
6548 La Jolla Blvd,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037,,,,,,,,,,,,,4.96,,,,2,,Market,,,,5840249,,Andrew Scott & Diane Lyn Trust,2,San Diego,,,,,,6,0,,32.8273590,-117.2773021,,,0.0,,
6627-6631 La Jolla Blvd,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037-6019,760,3.21,2440,,,,,,,,,,4.96,,1912,,2,2,Market,Edward Tian,Edward Tian,8585099976,885486,Michael Scarpella,Michael D Scarpella,10,San Diego,,1,3,1,,,0,,32.8281512,-117.2767276,,0.0,,0.0,0.0
6655 La Jolla Blvd,La Jolla Crest,31,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037,491,3.31,1626,,,,,,,,,,4.96,,1965,,3,1,Market,Crest Development,Roy Ziatabari,8587569941,6066932,Khosrow Ziatabari,Khosrow Ziatabari,35,San Diego,Recycling,11,,,,20,0,,32.8285670,-117.2766760,,9.1,5.0,,
6667-6671 La Jolla Blvd,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037,,,,,,,,,,,,,4.96,,,,2,,Market,,,,5840280,,Wegner-Vonbeulow Jessica Famil,3,San Diego,,,,,,,0,,32.8288103,-117.2766916,,,,,
6678 La Jolla Blvd,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037,,,,,,,,,,,,,4.96,,,,2,,Market,,,,5840274,,Shatoff Herbert & Sandra Famil,4,San Diego,,,,,,,0,,32.8288364,-117.2774065,,,,,
6902 La Jolla Blvd,The Collins,15,3,B,Multi-Family,Apartments,,Existing,San Diego,Beach Barber Tract,La Jolla,CA,92037-5476,790,2.94,2321,,,,,,,,,,0.62,1,1964,2020,4,1,Market,,,,10915646,,Hillcrest Veritas Lp,,San Diego,,9,6,,,,0,,32.8319243,-117.2770127,,0.0,,,0.0
